     250    26528    28184     1656
     252    26388    28184     1796
     254    26915    28184     1269
     256    27447    28456     1009
     258    28236    28760      524
     260    29094    29074      -20
     262    30047    29391     -656
     264    31103    29719    -1384
     266    32174    30052    -2122
     268    33266    30386    -2880
     270    34017    30720    -3297
     272    34308    30774    -3534
     274    34602    30488    -4114
     276    34356    30202    -4154
     278    33955    29960    -3995
     280    32984    29718    -3266
     282    31930    29407    -2523
     284    30570    28705    -1865
     286    29127    28002    -1125
     288    27121    26785     -336
     290    26188    24591    -1597
     292    24734    22909    -1825
     294    22034    21455     -579
     296    19829    19275     -554
     298    17721    17361     -360
     300    16493    16110     -383
     302    15802    15325     -477
     304    15488    14707     -781
     306    15588    14227    -1361
     308    15714    14405    -1309
     310    15838    14789    -1049
     312    16493    15562     -931
     314    17254    16336     -918
     316    18101    17078    -1023
     318    18884    17802    -1082
     320    19688    18627    -1061
     322    20564    19571     -993
     324    21493    20515     -978
     326    22449    21398    -1051
     328    23442    22129    -1313
     330    24378    22714    -1664
     332    25241    23298    -1943
     334    25876    23883    -1993
     336    26242    24948    -1294
     338    26613    26119     -494
     340    26971    27118      147
     342    27265    27749      484
     344    27523    28381      858
     346    27258    29013     1755
     348    26996    29688     2692
     350    26644    30523     3879
     352    26260    31359     5099
     354    25924    32194     6270
     356    25392    33030     7638
     358    24457    33408     8951
     360    23686    33735    10049
     362    23062    34011    10949
     364    22459    34243    11784
     366    22121    34475    12354
     368    21878    34714    12836
     370    22044    34992    12948
     372    22898    35271    12373
     374    23785    35549    11764
     376    24734    35828    11094
     378    25858    36106    10248
     380    27391    36308     8917
     382    29242    36308     7066
     384    31355    37167     5812
     386    33783    38477     4694
     388    37025    39886     2861
     390    41937    41945        8
     392    47435    45001    -2434
     394    53015    47885    -5130
     396    57903    50531    -7372
     398    62101    53178    -8923
     400    66558    55824   -10734
     402    71056    59047   -12009
     404    77179    63342   -13837
     406    88552    67637   -20915
     408   105580    71839   -33741
     410   116710    75989   -40721
     412   125050    80336   -44714
     414   131070    85649   -45421
     416   130470    90962   -39508
     418   128880    96420   -32460
     420   120090   101890   -18200
     422   107970   107470     -500
     424    94059   115300    21241
     426    81508   120460    38952
     428    70778   125210    54432
     430    61518   132150    70632
     432    53530   138040    84510
     434    41333   138040    96707
     436    33205   136760   103555
     438    29785   125390    95605
     440    25645   103320    77675
     442    23195    90810    67615
     444    20361    70681    50320
     446    19081    59306    40225
     448    16761    43330    26569
     450    15704    25823    10119
     452    14716    17927     3211
     454    13388    14332      944
     456    12374    10445    -1929
     458    11874     8833    -3041
     460    11120     7651    -3469
     462    10330     6209    -4121
     464   9951.8     5622  -4329.8
     466   9268.3     5195  -4073.3
     468   8717.7     4825  -3892.7
     470   8302.3     4500  -3802.3
     472     7905     4318    -3587
     474   7528.4     4224  -3304.4
     476   7212.7     4108  -3104.7
     478   6929.5     4021  -2908.5
     480   6657.3     3981  -2676.3
     482   6425.4   3952.3  -2473.1
     484   6295.1   3927.3  -2367.8
     486   6167.4   3908.3  -2259.1
     488   6043.7   3897.7    -2146
     490   5921.1   3897.8  -2023.3
     492   5771.7   3910.9  -1860.8
     494   5614.4   3939.3  -1675.1
     496   5462.6   3985.5  -1477.1
     498     5315   4051.7  -1263.3
     500   5233.2   4140.2    -1093
     502   5149.1   4253.5   -895.6
     504   5104.5   4393.7   -710.8
     506   4986.5   4563.4   -423.1
     508     4999   4764.7   -234.3
     510   5008.8     5000     -8.8
     512   5037.6   5267.7    230.1
     514   5107.3   5550.2    442.9
     516   5250.4   5825.8    575.4
     518   5627.4   6072.9    445.5
     520   6050.6     6270    219.4
     522   6612.6     6420   -192.6
     524   7317.3   6603.5   -713.8
     526   8124.1   6843.3  -1280.8
     528   8997.5   7141.6  -1855.9
     530   9989.2   7500.5  -2488.7
     532    10969   7922.2  -3046.8
     534    11731   8408.8  -3322.2
     536    12438   8962.5  -3475.5
     538    12928   9585.5  -3342.5
     540    13309    10280    -3029
     542    13323    11000    -2323
     544    13024    11417    -1607
     546    12467    11834     -633
     548    11665    12251      586
     550    10754    12557     1803
     552   9918.8    12750   2831.2
     554   9203.8    12943   3739.2
     556   8619.2    12940   4320.8
     558     8364    12740     4376
     560   8153.3    12540   4386.7
     562     8155    12258     4103
     564   8478.9    11976   3497.1
     566   9123.8    11693   2569.2
     568    10043    11411     1368
     570    11124    11011     -113
     572    12293    10494    -1799
     574    13327   9976.2  -3350.8
     576    13885   9458.8  -4426.2
     578    13682     9030    -4652
     580    12526   8627.1  -3898.9
     582    10826   8161.4  -2664.6
     584   8659.9   7695.7   -964.2
     586   6650.1     7230    579.9
     588   4940.8   6718.6   1777.8
     590   3600.2   6207.1   2606.9
     592   2617.1   5695.7   3078.6
     594   1919.7   5184.3   3264.6
     596   1420.9   4672.9     3252
     598   1126.1   4161.4   3035.3
     600      800     3650     2850
     602      666   3139.6   2473.6
     604      532   2629.2   2097.2
     606    447.3     2281   1833.7
     608    411.9     2095   1683.1
     610    376.5     1909   1532.5
     612    341.1     1723   1381.9
     614    305.7     1537   1231.3
     616    277.5   1409.6   1132.1
     618    256.5   1340.8   1084.3
     620    235.5     1272   1036.5
     622    214.5   1203.2    988.7
     624    193.5   1134.4    940.9
     626    176.9   1084.9      908
     628    164.7   1054.7      890
     630    152.5   1024.5      872
     632    140.3    994.3      854
     634    128.1    964.1      836
     636    119.7      940    820.3
     638    115.1      922    806.9
     640    110.5      904    793.5
     642    105.9      886    780.1
     644    101.3      868    766.7
     646     97.6    854.2    756.6
     648     94.8    844.6    749.8
     650       92      835      743
     652     89.2    825.4    736.2
     654     86.4    815.8    729.4
     656     83.8    808.8      725
     658     81.4    804.4      723
     660       79      800      721
     662     76.6    795.6      719
     664     74.2    791.2      717
     666     72.9    785.8    712.9
     668     72.7    779.4    706.7
